Batch Size,Repeat Number,Time Taken (seconds)
1,1,0.1998140811920166
1,2,0.19273757934570312
1,3,0.1770334243774414
1,4,0.17231249809265137
1,5,0.17903995513916016
1,6,0.18097782135009766
1,7,0.17455101013183594
1,8,0.1756303310394287
1,9,0.2045459747314453
1,10,0.17099714279174805
2,1,0.2085423469543457
2,2,0.2175285816192627
2,3,0.19462108612060547
2,4,0.19257259368896484
2,5,0.2018299102783203
2,6,0.19786977767944336
2,7,0.20827293395996094
2,8,0.19242262840270996
2,9,0.19140052795410156
2,10,0.20014309883117676
4,1,0.19258809089660645
4,2,0.22182798385620117
4,3,0.21022844314575195
4,4,0.20252013206481934
4,5,0.19730138778686523
4,6,0.21804356575012207
4,7,0.19243550300598145
4,8,0.21959233283996582
4,9,0.2164318561553955
4,10,0.18895244598388672
8,1,0.18963217735290527
8,2,0.1994335651397705
8,3,0.20835328102111816
8,4,0.20244359970092773
8,5,0.20668625831604004
8,6,0.20955610275268555
8,7,0.21942996978759766
8,8,0.19210433959960938
8,9,0.2053544521331787
8,10,0.21617555618286133
16,1,0.1977832317352295
16,2,0.21255779266357422
16,3,0.19638824462890625
16,4,0.2201395034790039
16,5,0.2044370174407959
16,6,0.19902372360229492
16,7,0.21292495727539062
16,8,0.19355440139770508
16,9,0.2112267017364502
16,10,0.19895601272583008
32,1,0.216033935546875
32,2,0.20806646347045898
32,3,0.19527506828308105
32,4,0.20913910865783691
32,5,0.20856952667236328
32,6,0.19473481178283691
32,7,0.20656180381774902
32,8,0.21599340438842773
32,9,0.20247173309326172
32,10,0.19458746910095215
64,1,0.22776103019714355
64,2,0.19815373420715332
64,3,0.2057054042816162
64,4,0.21460294723510742
64,5,0.20676493644714355
64,6,0.19951820373535156
64,7,0.20026421546936035
64,8,0.20707392692565918
64,9,0.2062699794769287
64,10,0.19695281982421875
128,1,0.20877671241760254
128,2,0.20957469940185547
128,3,0.20511698722839355
128,4,0.20667767524719238
128,5,0.21168017387390137
128,6,0.20540237426757812
128,7,0.21394920349121094
128,8,0.21252727508544922
128,9,0.2162628173828125
128,10,0.21841025352478027
256,1,0.2287278175354004
256,2,0.2210984230041504
256,3,0.23535752296447754
256,4,0.2285151481628418
256,5,0.23842692375183105
256,6,0.22490262985229492
256,7,0.23053336143493652
256,8,0.2417607307434082
256,9,0.24429845809936523
256,10,0.24005341529846191
512,1,0.3046276569366455
512,2,0.31180763244628906
512,3,0.3087599277496338
512,4,0.30869436264038086
512,5,0.31248021125793457
512,6,0.31975483894348145
512,7,0.31397223472595215
512,8,0.31169843673706055
512,9,0.3143312931060791
512,10,0.3111531734466553
1000,1,0.5062263011932373
1000,2,0.5042712688446045
1000,3,0.5095374584197998
1000,4,0.5012063980102539
1000,5,0.49983954429626465
1000,6,0.4994513988494873
1000,7,0.5002496242523193
1000,8,0.5005383491516113
1000,9,0.4984419345855713
1000,10,0.5140950679779053
2000,1,1.0096220970153809
2000,2,1.0130867958068848
2000,3,1.0251431465148926
2000,4,1.039492130279541
2000,5,1.028003454208374
2000,6,1.017601728439331
2000,7,1.018439531326294
2000,8,1.0265898704528809
2000,9,1.0286026000976562
2000,10,1.0247657299041748
4000,1,2.0541276931762695
4000,2,2.038882255554199
4000,3,2.09664249420166
4000,4,2.0571072101593018
4000,5,2.082164764404297
4000,6,2.0630180835723877
4000,7,2.0330545902252197
4000,8,2.0531392097473145
4000,9,2.053058385848999
4000,10,2.078742265701294
8000,1,4.1575822830200195
8000,2,4.15065860748291
8000,3,4.155795335769653
8000,4,4.170656204223633
8000,5,4.141929626464844
8000,6,4.157662391662598
8000,7,4.163811206817627
8000,8,4.1676108837127686
8000,9,4.148801565170288
8000,10,4.17275595664978
15000,1,8.740615129470825
15000,2,8.701287269592285
15000,3,8.779941082000732
15000,4,8.614930629730225
15000,5,8.695250749588013
15000,6,8.539021968841553
15000,7,8.622502088546753
15000,8,8.635117530822754
15000,9,8.783510208129883
15000,10,8.809674501419067
20000,1,11.680643558502197
20000,2,11.483076572418213
20000,3,11.617745876312256
20000,4,11.955413818359375
20000,5,11.692933797836304
20000,6,11.799883604049683
20000,7,11.693640232086182
20000,8,11.76296353340149
20000,9,11.679139614105225
20000,10,11.545880317687988
30000,1,17.339738607406616
30000,2,17.421953439712524
30000,3,17.206093549728394
30000,4,17.37273406982422
30000,5,17.31369400024414
30000,6,17.50917911529541
30000,7,17.50726056098938
30000,8,17.36378765106201
30000,9,17.452701091766357
30000,10,17.36030387878418
40000,1,23.085273027420044
40000,2,22.73255443572998
40000,3,23.036683082580566
40000,4,23.09319281578064
40000,5,23.015997409820557
40000,6,23.189650297164917
40000,7,23.281187057495117
40000,8,23.250004053115845
40000,9,23.25818634033203
40000,10,22.99642586708069
50000,1,28.758254051208496
50000,2,28.900444269180298
50000,3,29.123364210128784
50000,4,28.764384269714355
50000,5,28.832509517669678
50000,6,28.805891275405884
50000,7,28.790067195892334
50000,8,28.636765718460083
50000,9,28.97821593284607
50000,10,28.8383309841156
60000,1,34.30496907234192
60000,2,34.45904183387756
60000,3,34.82734751701355
60000,4,34.571330070495605
60000,5,34.80270481109619
60000,6,34.78583383560181
60000,7,34.92713785171509
60000,8,34.80621075630188
60000,9,34.592591524124146
60000,10,34.754326581954956
